country,district,segment,lid,official_value
新北市,新莊區,海山頭段三角子小段,01250000,43100
新北市,新莊區,海山頭段三角子小段,01250001,54781
新北市,新莊區,海山頭段三角子小段,01250002,54781
新北市,新莊區,海山頭段三角子小段,01460000,77900
新北市,新莊區,海山頭段三角子小段,01460002,77900
新北市,新莊區,海山頭段三角子小段,01460003,77900
新北市,新莊區,海山頭段三角子小段,01460004,35300
新北市,新莊區,海山頭段三角子小段,01460005,35300
新北市,新莊區,海山頭段三角子小段,01480000,49600
新北市,新莊區,海山頭段三角子小段,01480002,49600
新北市,新莊區,海山頭段三角子小段,01480003,35300
新北市,新莊區,海山頭段三角子小段,01520000,77900
新北市,新莊區,海山頭段三角子小段,01520001,54781
新北市,新莊區,海山頭段三角子小段,01520002,36500
新北市,新莊區,海山頭段三角子小段,01520003,54781
新北市,新莊區,海山頭段三角子小段,01520004,54781
新北市,新莊區,海山頭段三角子小段,01520005,54781
新北市,新莊區,海山頭段三角子小段,01520006,54781
新北市,新莊區,海山頭段三角子小段,01520007,54781
新北市,新莊區,海山頭段三角子小段,01520008,54781
新北市,新莊區,海山頭段三角子小段,01520009,54781
新北市,新莊區,海山頭段三角子小段,01520010,77900
新北市,新莊區,海山頭段三角子小段,01530000,77900
新北市,新莊區,海山頭段三角子小段,01530002,54781
新北市,新莊區,海山頭段三角子小段,01530003,54781
新北市,新莊區,海山頭段三角子小段,01530004,54781
新北市,新莊區,海山頭段三角子小段,01530005,36500
新北市,新莊區,海山頭段三角子小段,01530006,54781
新北市,新莊區,海山頭段三角子小段,01530007,54781
新北市,新莊區,海山頭段三角子小段,01530008,54781
新北市,新莊區,海山頭段三角子小段,01530009,36500
新北市,新莊區,海山頭段三角子小段,01530010,54781
新北市,新莊區,海山頭段三角子小段,01530011,54781
新北市,新莊區,海山頭段三角子小段,01530012,54781
新北市,新莊區,海山頭段三角子小段,01530013,54781
新北市,新莊區,海山頭段三角子小段,01530014,35300
新北市,新莊區,海山頭段三角子小段,01530015,54781
新北市,新莊區,海山頭段三角子小段,01530016,54781
新北市,新莊區,海山頭段三角子小段,01530018,54781
新北市,新莊區,海山頭段三角子小段,01530019,54781
新北市,新莊區,海山頭段三角子小段,01530020,48081
新北市,新莊區,海山頭段三角子小段,01530021,36500
新北市,新莊區,海山頭段三角子小段,01530022,54781
新北市,新莊區,海山頭段三角子小段,01530023,36500
新北市,新莊區,海山頭段三角子小段,01530024,36500
新北市,新莊區,海山頭段三角子小段,01530025,54781
新北市,新莊區,海山頭段三角子小段,01530026,36500
新北市,新莊區,海山頭段三角子小段,01530027,54781
新北市,新莊區,海山頭段三角子小段,01700000,36500
新北市,新莊區,海山頭段三角子小段,01700001,36500
新北市,新莊區,海山頭段三角子小段,01700002,36500
新北市,新莊區,海山頭段三角子小段,01700003,36500
新北市,新莊區,海山頭段三角子小段,01700004,36500
新北市,新莊區,海山頭段三角子小段,01710000,36500
新北市,新莊區,海山頭段三角子小段,01710001,36500
新北市,新莊區,海山頭段三角子小段,01710002,36500
新北市,新莊區,海山頭段三角子小段,01710003,43100
新北市,新莊區,海山頭段三角子小段,01710004,43100
新北市,新莊區,海山頭段三角子小段,01710005,43100
